Fonction;Operation;nbIteration;Marge d'erreur (%);Temps d'entrainement(nanosecondes)
Tanh;AND;496;0,053004;536000
Tanh;AND;497;0,184748;555000
Tanh;AND;498;0,568934;540101
Tanh;AND;499;0,453155;544300
Tanh;AND;500;0,147312;527501
Tanh;AND;501;0,032132;527101
Tanh;AND;502;0,034697;567100
Tanh;AND;503;0,021173;540799
Tanh;AND;504;0,070083;530800
Tanh;AND;505;0,119271;536300
Tanh;AND;506;0,557765;547801
Tanh;AND;507;0,245067;542001
Tanh;AND;508;0,096067;540601
Tanh;AND;509;0,081711;541500
Tanh;AND;510;0,035225;542300
Tanh;AND;511;0,041613;540800
Tanh;AND;512;0,150865;541200
Tanh;AND;513;0,192061;543599
Tanh;AND;514;0,462973;545000
Tanh;AND;515;0,208352;544799
Tanh;AND;516;0,145562;544299
Tanh;AND;517;0,053667;547600
Tanh;AND;518;0,115235;552400
Tanh;AND;519;0,167298;739800
Tanh;AND;520;0,28048;568599
Tanh;AND;521;0,469417;563100
Tanh;AND;522;0,335457;571699
Tanh;AND;523;0,117681;566600
Tanh;AND;524;0,13969;568500
Tanh;AND;525;0,122532;552399
Tanh;AND;526;0,104618;553899
Tanh;AND;527;0,174768;555799
Tanh;AND;528;0,26812;557300
Tanh;AND;529;0,215416;566500
Tanh;AND;530;0,159991;566300
Tanh;AND;531;0,077454;575600
Tanh;AND;532;0,155476;575499
Tanh;AND;533;0,220921;576799
Tanh;AND;534;0,188621;579699
Tanh;AND;535;0,238364;580400
Tanh;AND;536;0,130623;578100
Tanh;AND;537;0,189896;581000
Tanh;AND;538;0,124084;582201
Tanh;AND;539;0,217004;583300
Tanh;AND;540;0,148382;591301
Tanh;AND;541;0,183435;593499
Tanh;AND;542;0,187923;593200
Tanh;AND;543;0,12128;596101
Tanh;AND;544;0,090856;588100
Tanh;AND;545;0,137893;738600
Tanh;AND;546;0,124988;749700
Tanh;AND;547;0,164645;641701
Tanh;AND;548;0,361327;597100
Tanh;AND;549;0,253699;602500
Tanh;AND;550;0,228959;584500
Tanh;AND;551;0,100577;588200
Tanh;AND;552;0,11397;595100
Tanh;AND;553;0,226237;608200
Tanh;AND;554;0,162738;601001
Tanh;AND;555;0,147692;599200
Tanh;AND;556;0,191542;599399
Tanh;AND;557;0,105971;600101
Tanh;AND;558;0,109474;586900
Tanh;AND;559;0,274477;594900
Tanh;AND;560;0,287752;589300
Tanh;AND;561;0,32475;593800
Tanh;AND;562;0,13205;601100
Tanh;AND;563;0,112323;606899
Tanh;AND;564;0,157085;597600
Tanh;AND;565;0,115138;596201
Tanh;AND;566;0,134592;609300
Tanh;AND;567;0,193069;610600
Tanh;AND;568;0,138319;606300
Tanh;AND;569;0,118516;672999
Tanh;AND;570;0,233651;630200
Tanh;AND;571;0,175756;630800
Tanh;AND;572;0,268711;623500
Tanh;AND;573;0,144712;622799
Tanh;AND;574;0,147417;634000
Tanh;AND;575;0,126644;632801
Tanh;AND;576;0,188136;637001
Tanh;AND;577;0,195461;614501
Tanh;AND;578;0,123856;615001
Tanh;AND;579;0,207589;667100
Tanh;AND;580;0,162836;630801
Tanh;AND;581;0,19763;635200
Tanh;AND;582;0,117692;631500
Tanh;AND;583;0,148822;625100
Tanh;AND;584;0,190637;614900
Tanh;AND;585;0,262262;619899
Tanh;AND;586;0,130788;626001
Tanh;AND;587;0,281048;634400
Tanh;AND;588;0,253398;637300
Tanh;AND;589;0,156549;638800
Tanh;AND;590;0,247566;636100
Tanh;AND;591;0,266346;637899
Tanh;AND;592;0,133809;640601
Tanh;AND;593;0,200547;643500
Tanh;AND;594;0,121954;674600
Tanh;AND;595;0,240368;660900
Tanh;AND;596;0,19487;647100
Tanh;AND;597;0,256247;647199
Tanh;AND;598;0,127331;2361600
Tanh;AND;599;0,130436;641801
Tanh;AND;600;0,256635;645899
Tanh;AND;601;0,118095;622700
Tanh;AND;602;0,119502;620600
Tanh;AND;603;0,244078;620400
Tanh;AND;604;0,238742;629300
Tanh;AND;605;0,274131;625300
Tanh;AND;606;0,12462;639300
Tanh;AND;607;0,115269;649599
Tanh;AND;608;0,116559;647201
Tanh;AND;609;0,206516;663701
Tanh;AND;610;0,231342;661301
Tanh;AND;611;0,12557;659601
Tanh;AND;612;0,238296;665500
Tanh;AND;613;0,213506;667000
Tanh;AND;614;0,116973;661500
Tanh;AND;615;0,111541;882700
Tanh;AND;616;0,117938;951300
Tanh;AND;617;0,262455;658799
Tanh;AND;618;0,236077;662200
Tanh;AND;619;0,248379;672999
Tanh;AND;620;0,119365;711600
Tanh;AND;621;0,114792;678100
Tanh;AND;622;0,23958;672299
Tanh;AND;623;0,120226;685100
