Fonction de transfert;nbNeuronesCaches1;nbNeuronesCaches2;taux;resultat mlp en %
Tanh;150;125;0,010000;94,480000
Sigmoïde;150;125;0,050000;94,510000
Tanh;150;125;0,050000;94,110000
Sigmoïde;150;125;0,100000;95,230000
Tanh;150;125;0,100000;93,950000
Sigmoïde;150;125;0,300000;95,230000
Tanh;150;125;0,300000;11,350000
Sigmoïde;150;125;0,500000;95,530000
Tanh;150;125;0,500000;10,320000
Sigmoïde;150;150;0,010000;86,670000
Tanh;150;150;0,010000;94,730000
Sigmoïde;150;150;0,050000;94,910000
Tanh;150;150;0,050000;94,730000
Sigmoïde;150;150;0,100000;94,850000
Tanh;150;150;0,100000;93,350000
Sigmoïde;150;150;0,300000;95,220000
Tanh;150;150;0,300000;10,090000
Sigmoïde;150;150;0,500000;95,250000
Tanh;150;150;0,500000;9,800000
